"","Threat","CAN","MEX","USA"
"1","Agriculture & Aquaculture",6.35294117647059,4.13483146067416,5.86363636363636
"2","Biological Resource Use",5.73529411764706,6.04494382022472,7.10227272727273
"3","Climate Change",5.11764705882353,1.82022471910112,1.36363636363636
"4","Energy Production & Mining",4.08823529411765,7.03932584269663,5.35227272727273
"5","Geological Events",8.41176470588235,10.0561797752809,10.1818181818182
"6","Human Intrusions & Disturbance",6.88235294117647,7.71910112359551,6.93181818181818
"7","Invasive & Other Problematic Species, Genes & Diseases",4.29411764705882,8.53932584269663,5.05681818181818
"8","Natural System Modifications",6.91176470588235,4.2247191011236,4.31818181818182
"9","Pollution",5.73529411764706,2.29213483146067,5.39772727272727
"10","Residential & Commercial Development",5.67647058823529,5.57303370786517,6.52272727272727
"11","Transportation & Service Corridors",6.79411764705882,8.5561797752809,7.90909090909091
